title,price,sold_quantity
"Apple Ipad Air 2, 16gb Gris Espacial",4300,0
Ipad Air 16g Con Funda Survivor En Excelentes Condiciones,4300,0
Ipad Air ,4300,0
Ipad Air 16gb + Funda Thule,4300,0
Ipad Air 2 16gb,4300,0
Ipad Air Negra [seminueva] 32 Gb,4358,0
Ipad Air,4380,0
Ipad Air Modelo A1474 16 Gb ,4399,0
Ipad Air 2 Impecable Estetica De 10 Cargador Original Y Caja,4400,0
Ipad Air De 32 Gb,4400,0
Ipad Air A1474 16gb Silver,4400,0
Ipad Air 16gb Con Funda Stm Estética 9,4490,0
Ipad Air 16 Gb Silver ,4490,0
"Ipad Air 32gb, A1474, Silver, Estetica 9",4499,0
"Ipad Air, 32gb, A1474, Space Gray, Excelente Estado",4499,0
Ipad Air 16gb Exelente Estado,4499,0
"Ipad Air 64gb, A 1474, Space Gray, Impecable, En Caja ",4499,0
Ipad Air 16gb,4499,0
Ipad Air 1 De 16gb Space Gray,4500,0
Ipad Air 16 Gb,4500,0
Mini Ipad Air 64 Gb + Cel,4500,0
Nueva Ipad Air 16gb Urge!,4500,0
Ipad Air 2 16 Gb!!,4500,0
Apple Ipad Air 2gen. 16gb Dorado,4500,0
Ipad Air 16gb,4500,0
Ipad Air 16 Gb 4g Como Nueva Envio Gratis,4500,0
Ipad Air Wifi 4g 64gb Negra,4500,0
Apple Ipad Air 2 16 Gb,4500,0
Ipad Air 16gb Wifi Blanco/ Plata Impecable,4500,0
Apple Ipad Air Space Gray 16gb No Subastas Remate Original,4500,0
Ipad Air 2/wifi/16gb/space Gray/nueva,4500,0
Ipad Air 2 16gb Wi-fi,4500,0
Ipad Air 2,4500,0
Apple Ipad Air 16 Gb,4500,0
Ipad Air,4500,0
Ipad Air 2 32gb,4500,0
Display Ipad Air 2,4500,0
Ipad Air 2 16 Gigas Usado,4500,0
Ipad Air 32 Gb  Wi Fi  Gris Espacial- Seminueva,4500,0
Ipad Air 32gb,4500,0
Ipad Air 1 32 Gb Unico Dueño Gris Como Nueva.,4500,0
Ipad Air 32,4500,0
Ipad Air 16 Gb,4500,0
"Ipad Air 16gb, Gray ",4500,0
Ipad Air 16 Gb Space Gray Wi-fi  Msi,4500,0
Ipad Air Primera Generación 32 Gb Impecable,4500,0
"Ipad Air 1, 16gb Space Gray",4508,0
Ipad Air 2 64gb,4599,0
Ipad Air 32gb,4599,0
Ipad Air 2 16gb,4600,0
Ipad Air,4600,0
Ipad Air 2 64gb Silver,4600,0
Ipad Air 128 Gb Wifi + Celular,4600,0
Ipad Air 16 Gb,4600,0
Ipad Air 1 16gb,4600,0
Ipad Air 2 16gb Cellular,4640,0
Ipad Air 1 16 Gb,4700,1
Ipad Air 32gb Estetica 99,4700,0
Ipad Air De  16gb Space Gray,4700,0
Ipad Air 2 16gb Wifi Envio Gratis,4700,1
Ipad Air,4700,0
Ipad Air 9.7 De 32gb ,4700,0
Ipad Air 16gb,4700,0
Ipad Air,4700,0
"Ipad Air 1, 16gb, Perfecta",4700,0
Ipad Air 1,4760,0
Ipad Air 16gb Seminueva,4800,0
Ipad Air 1 A Super Precio Como Nueva,4800,0
"Ipad Air 1, 32gb Sin Cuentas, Ni Bloqueos",4800,0
Apple Ipad Air 32gb,4800,0
Ipad Air 16gb Space Gray Con Mica Protectora Y Estetica 10!,4800,0
Ipad Air 2 64 Gigas ,4800,0
Ipad Air 2 De 64gb Excelente Al 100 En Todo.,4800,0
Ipad Air 2 Remató,4800,0
Ipad Air Sin Cuenta ,4800,0
"Ipad Air 2, 16gb, Touch Id, Caja Y Cargador, *queretaro",4800,0
"Ipad Air 2 , 16gb, Estetica De 10, *queretaro",4800,0
Ipad Air 2 16gb Gold Wifi,4800,0
Ipad Air 2 Dorada De 16 Gb Retina Lector De Huella Seminueva,4800,0
Lcd Para Ipad Air,4870,0
Ipad Air De 32gb A 1474 Ca T123601,4871,0
Ipad Air 2 De 64 Gb Negra,4899,0
Ipad Air 64 Gb - Excelentes Condiciones,4900,0
Ipad Air 2 64gb Con Detalle Estetico,4900,0
Ipad Air De 16 Gb,4900,0
Ipad Air 2 De 64gb Al 100 En Todo. ,4900,0
Ipad Air Wifi + Celular Como Xperia Galaxy Alcatel Sony,4900,0
Ipad Air 2 64gb Con Detalle Estetico,4900,0
Ipad Air 2 De 32  $4900 Envio Gratis!,4908,0
Ipad Air De 16 Gb Como Nueva En Su Empaque Original,4980,0
"Ipad Air 64gb, A 1474, Space Gray, Impecable, En Caja ",4999,0
Ipad Air 2 16gb Color Gris,4999,0
Ipad Air 2 Treinta Y Dos Gb Wifi,4999,1
Ipad Air 32gb Lte Libre,4999.99,0
Ipad Air A1474 64gb,5000,0
Ipad Air 2 Wifi 3g Nueva ,5000,3
Apple Ipad Air 64gb. Excelente Desempeño. Smartcover Regalo,5000,1
Ipad Air 2 16gb Y Teclado Keys To Go,5000,0
Ipad Air 32 Gb,5000,0
Ipad Air 32gb,5000,0
"Ipad 4ªgeneracion 64gb, Unico Dueño, Factura, Carcasa Griffi",5000,0
Ipad Air 2 16 Gb + Funda Apple Impecable,5000,0
Ipad Air 2,5000,0
Ipad Air 1,5000,0
"Ipad Air 2 Blanco,wifi,16 Gb,seminuevo Impecable",5000,0
Remato Ipad  Wi-fi 16 Gb Envio Gratis. !!! Urge Vender!!!!,5000,0
Ipad Air 2 64 Gigas,5000,0
Ipad Air 128 Gb,5000,0
Ipad Air 16 Gb Blanca,5000,0
Ipad Air 2 De 128 Gb Touch Id,5000,0
Ipad Air 2,5000,0
Ipad Air,5000,0
Ipad Air 32 Gb Gris Espacial,5000,0
Ipad Air 32gb,5000,0
Ipad Air 1 Modelo Md788e/a 16 Gb Blanca Retina Con Funda,5000,0
Ipad Air 2 128 Gb,5000,0
Ipad Air 16 Gb,5000,0
Ipad Air 64gb Wifi Y 4g,5000,0
Ipad Air 2 Como Nueva!!!,5000,0
Ipad Air 2 De 16gb,5000,0
Ipad Air 16gb Wifi Md785cl/b,5000,0
Ipad Air 2,5000,0
Ipas Air 128 Gb Lte,5000,0
Ipad Air De 64gb Space Gray En Excelentes Condiciones,5000,0
Ipad Air 1 Rota,5000,0
Ipad Air 32 Gb Gris,5000,0
Ipad Air 1 16 Gb,5000,0
Ipad Air 2 - 31gb - Excelente Precio,5000,0
Ipad Air Primera Generación ,5000,0
Ipad Air 2 Tratandose ,5000,0
"Apple Ipad Air 32gb (plata / Blanco, Wi-fi) Seminueva",5000,0
Ipad Air 2 Tratando ,5000,0
"Ipad  Air 1 , De 16 Gb , Space Gray",5000,0
Tlabet Ipad,5000,0
"Ipad Air 16gb, Excelente Estado, Estetica De 10",5000,0
Ipad Air,5000,0
Ipad Air 2,5000,0
Ipad Air2 Dorada 64gb,5000,0
Ipad Air Md786ll/a,5100,0
Ipad Air 16gb Con Wifi Y 3g,5100,0
Ipad Air De 128 G ,5120,0
Ipad Air Wifi 64gb Gris Espacial Remate En Oferta Solo Hoy!,5149,0
Ipad Air Apple 12 Msi O Solo $4500,5200,0
Ipad Air 32gb,5200,0
Ipad Air 2,5200,0
Ipad Air 2 Wifi Celular 16gb,5200,0
Ipad Air 2 Wifi Y 3g De 16 Gb,5200,0
Ipad Air Silver 16gb Con Envío Gratis,5250,0
"Apple Ipad Air 2 32gb, A1566 Dorada, Buen Estado",5300,0
Ipad Air 2 16 Gb Sin Fallas Sin Detalles Perfecto Estado,5300,0
Ipad Air 2 16 Gb Gold,5300,0
Ipad Air 2 Como Nueva,5300,0
Ipad Air 1 De 16gb Con Smart Cover,5350,0
Vendo Ipad Air De 32 Gb Gris Espacial,5400,0
Ipad Air 2 16gb Ticket Caja (seminueva),5400,0
"Ipad Air 32 Gb Wi-fi, Plata / Silver, Md789e/a",5400,0
Sólo Para Miembros Caja Del Teléfono Celular Para Ipad Air -,5412.6,0
Tablet Apple Ipad Air 2 64gb Wifi Silver Retina Original,5490,0
Ipad Air 2 16gb Wifi Plateado Impecable,5499,0
Apple Ipad Air 2 64gb Gris Espacial Como Nueva,5500,0
Ipad Air 2 64 Gb,5500,0
Ipad Air 2 Gold 16 Gb,5500,0
Ipad Air 2 16 Gb Impecable Color Oro,5500,0
Ipad Air 32 Gb Con Cargador Funda Y Caja,5500,0
"Ipad Air 2 16g, Wifi, Excelente Precio",5500,0
Ipab Air 2 16 Gb,5500,0
Ipad Air 128gb,5500,0
Ipad Air,5500,0
Ipad Air 2 64gb Wi-fi ,5500,0
Ipad Air 2 128gb Gris Espacial ,5500,0
Ipad Air 2 64gb,5500,0
Ipad Air 2 128g Wifi Dorada,5500,0
Ipad Air 64 Gb,5500,0
Ipad Air 2 De 16gb,5500,0
"Ipad Apple Air 9, 9.7  De 32gb",5500,0
Ipad Air 2 Sin Bloqueos 32gb,5500,0
Ipad Air Mod. A1474,5500,0
Ipad Apple Air 2  Space Gray,5500,0
Ipad Air 2 4g,5500,0
