id,title,price,sold_quantity
MLM592436064,Audifonos Gamer Pc Diadema Microfono Eagle Warrior Hs-501 ,179,434
MLM555360773,Mouse / Raton Gamer Eagle Warrior Drakon G15 Retroiluminado,179,85
MLM555673037,Mouse Gamer Con Luz Led Eagle Warrior G13 Usb Control Dpi,179,881
MLM549549985,Mouse G13 Eagle Warrior Plus Retroiluminado,177,14
MLM551470363,Mouse Eagle Warrior G13 2400 Dpi Gaming,177,20
MLM608110371,Mouse Gamer Eagle Warrior G13 ,177,0
MLM608110764,Mouse G15 Eagle Warrior Drakon ,177,0
MLM550073803,Mouse Gamer Eagle Warrior G13 Optico Iluminado,169,14
MLM591386423,Mouse Eagle Warrior Optico Alambrico G16 Gaming Usb Negro 28,160.5,0
MLM580482013,Mouse Óptico Para Gaming Eagle Warrior G16,160,0
