title,price,sold_quantity
Samsung Galaxy Note 8 De 64gb O F E R T A.....!!!!,17800,0
Samsung Galaxy Note 8 Dualsim Octacore 6gb Ram 128gb S Pen,17799,1
Samsung Note 8 64gb,12299,0
Samsung Note 8 128gb Libre Cualquier Compañia,15990,0
"Samsung Galaxy Note 8 64gb Nuevo Original , Al Mejor Precio",13899,0
Samsung Galaxy Note 8 Octacore 6gb Ram 64gb S Pen 12mp Fullh,14299,0
Samsung Note 8 Nueva,15500,0
"Galaxy Note8, Video 4k, Octa-core, Cámara Doble 12mp, Amoled",17499,0
"Accesorios Samsung Galaxy S8, S8+ Note 8",1099,0
Samsung Galaxy Note 8 128gb 4gb Ram Dual Cam Libre Msi,17399,0
Samsung Galaxy Note 8 128gb Telcel Libre,16800,0
"¡¡oferta Precio Especial! Galaxy Note8, Versión 128gb Telcel",18499,0
Galaxy Note 8 Dorado Dual Sim Libre 4g Lte,16999,0
Galaxy Note 8 128gb Orchid Gray Con Detalle,13999,0
Note 8,15500,0
Note 8 Producto Totalmente Nuevo! Original Orchyd Gray Negro,14600,0
Galaxi Note 8 Seminuevo Remate De Mercancía !,8900,0
Samsung Note 8 Negra O Violeta De 128gb | Libre,16449,0
Samsung Galaxy Note 8 64gb Negro Nuevo Liberado Garantía,18699,1
Samsung Note 8 Nuevo Libre,14500,0
Note 8 ,6000,0
Samsung Galaxy Note 8 64 Gb Nuevos Originales,14000,1
Galaxy Note 8 128gb ,17000,0
Galaxy Note,400,0
Galaxy Note 8 128 Gb,14900,0
Note 8 Nuevo,13000,1
Samsung Note 8,17900,0
Samsung Galaxy Note 8 Dual Sim Libre Cualquier Compañia.,16500,0
Samaung Galaxy Note 8 128gb,19699,0
"Galaxy Note 8, 128 Gb, Excelente",13770,0
Galaxy Note 8 T-mobile 64 Gb. ,17900,0
Samsung Galaxy Note 8 Smn950f 128gb Negro Telcel Nuevo Sello,16999,0
Note 8 Nuevo,16000,0
Samsung Galaxy Note8 64gb Liberado,13700,0
Samsung Note 8 128gb Original Att Liberado Con Factura,17800,0
Samsung Galaxy Note 8 Telcel Color Negr. 128gb Garantia 1 Añ,16500,0
Galaxy Note 8 Duos (dual Sim),14300,0
"Note 8 Liberada, Snapdragon 835, 6gb Ram, 64gb Como Nuevo",17900,0
Samsung Galaxy Note 8 128gb Negro // Como Nuevo / $,19999,0
Samsung Galaxy Note 8 128gb,17499,0
Galaxy Note 8 Negro,16100,0
Samsung Note 8,14500,0
Samsung Galaxy Note 8 64gb 4g Lte 12mp Envio Gratis,15070,0
Samsung Galaxy Note 8 64gb 4g Lte 12mp Regalo Gratis,16790,0
Samsung Galaxy Note 8 128gb ,17500,0
Samsung Galaxy Note 8 128 Gb Nuevo Color Midnight Black,18000,0
Samsung Galaxy Note 8 64gb Nuevos Libres Originales,16495,1
Note 8 128 Gb,19000,0
Samsung Galaxy Note 8 128gb 6gb Ram,17989,0
Galaxy Note 8 128gb Movistar ,14500,0
"Samsung Note 8, 64 Gb Libre Para Cualquier Compañía. ",16000,0
Samsung Galaxy Note 8,19200,0
Samsung Salaxy Note 8 Original De 128 Gb Libre ,16500,0
Galaxy Note 8 128 Gb Falta Liberar - Error De Red,9500,0
Note 8 Samsung,14300,0
Samsung Galaxy Note 8 | Violeta O Negra | Liberadas,16999,0
Samsung Galaxy Note 8,15000,0
Galaxy Note 8 ,17000,0
Note 8 Original 64gb Negro ,12000,0
Samsung Galaxy Note 8 Dorado 64gb,15000,0
Galaxy Note 8,17500,0
Samsung Note 8,14000,0
Samsung Note 8 128gb ,17500,0
Galaxy Note 8 128gb,13100,0
Samsung Note 8 Con Detalle,10000,0
Samsung Galaxy Note 8 128gb. Nacional. Telcel,17500,0
Samsung Note 8 Negro,15500,0
Deck Station Samsung Galaxy S8/note..,2000,0
"Samsung Note 8 Dual Sim  Pregunta X Precio De $18,950",21599,0
Samsung Galaxy Note 8 64gb,16000,0
Note 8,16000,0
"Samsung Galaxy Note 8, Snapdragon 835, 6 Gb Ram, Nuevo.",16999,1
Samsung Galaxy Note 8 Dual Sim 64 Gb,17299,0
Note 8,15000,0
Samsung Galaxy Note 8 Factory Desbloqueado Teléfono ,18800,0
Samsung Galaxy Note 8 Octacore 64gb 6gb Ram,14500,0
Samsung Galaxy Note 8 64gb + 6gb Ram 12 Msi,17399,0
Note 8 128 Gb Libre,16500,0
Note 8 De 128gb ,16500,0
"Galaxy Note 8 Nuevas, Solo Equipo Y Cargador",14950,0
Samsung Galaxy Note 8  64 Gb,12999,0
Galaxy Note 8 - Gear S 3,15000,0
Samsung Note 8 64gb ,17999,0
Galaxy Note 8,16000,0
Samsung Galaxy Note 8 128 Gb,18000,0
Samsung Galaxy Note 8 Color Negro,19000,0
Liquidación Galaxy Note 8 128gb Telcel Sm-n950f,17000,0
Galaxy Note 8 128 Gb ,16500,0
Samsung Galaxy Note 8,14000,0
