title,price,sold_quantity
Iphone 8 Plus 64gb Plata Libre,17499,0
Apple Iphone 8 Plus 64gb Sellados,17489,0
Apple Iphone 8 Plus 64 Gb  Nuevos Libre Sellados Nacional,17399,100
Iphone 8 Plus De 64gb Libres Cualquier Compañía Envío Gratis,17399,2
Iphone 8 Plus Nuevo,17399,0
Iphone 8,17350,0
"Iphone 8 Plus 64gb Libre Para Cualquier Compañia, Con Regalo",17349,0
Iphone 6 Plus De 64gb Completamente Nuevo Y Con Garantia,17349,0
Nuevo Iphone 8 Plus 64gb 2 Regalos Y Envió Gratis Grekime,17315,0
Iphone 8 Plus 64gb 4g Lte 12mp Regalo Gratis,17315,0
Iphone 8 Plus 64 Gb Nuevo !!,17300,0
Iphone 8 Plus 64gb 64gb Nuevo Sellado Directo De Apple,17299,8
Iphone 8 Plus 64 Gb,17299,0
"Iphone 8 Plus 64gb Plata ,desbloqueado, Nacional, Envio!!!",17200,0
Iphone 8 Plus 64 Gb Space Grey,17200,0
Iphone 8 Plus 64 Gb Nuevo Liberado,17200,0
Iphone 8 Plus 64 Gb At&t Nuevo Sellado Plata Envío Gratis!!,17199,0
Iphone 8 Plus Silver 64 Gb Nuevo Liberado ,17199,0
Iphone 8 Plus De 64 Gb Libre De Fábrica,17000,0
Iphone 8 Plus 64gb,17000,0
Iphone 8 Plus,17000,0
Iphone 8 Plus Space Gray,17000,0
"Iphone 8 Pluss 64 Gb,",17000,0
Iphone 8 Plus 64 Gb,17000,0
"Iphone 8 Plus, Sellado! Garantía 2 Años",17000,0
Iphone 8 Plus 64gb Libre Escucho Ofertas,17000,0
Iphone 8 Plus 64 Gb,17000,0
Iphone 8 Plus 64 Gb Gris Espacial.,17000,0
"Iphone 8 Plus Nuevo De 64g , 1 Año De Garantia !!",16999,3
Remato Iphone 8 Plus 64gb Blanco Libre Telcel Att 4g Checalo,16999,0
Iphone 8 Nuevo Celular Apple Dorado,16999,0
Iphone 8 Plus 64gb Nuevos Desbloqueados Garantia ,16999,0
Iphone 8 Plus 64gb Space Grey Sellado Nuevo Con Garantia!,16999,0
"Iphone 8 De 64gb Jet Black, 4 Meses De Uso. Como Nuevo.",16999,1
Iphone 8 Plus Nuevo Silver,16999,0
"Sb Shop: Iphone 8 Plus, 64 Gb Nuevos.",16999,0
Iphone 8 Plus Nuevo,16999,0
Iphone 8 Plus 64 Gb.,16999,0
Iphone 8 Plus 64gb Plata,16999,0
Iphone 8 Plus 64 Nuevos,16999,0
"Iphone 8 Plus 64gb, Libre ,plata,nuevo Sellado,envio!",16999,1
Iphone 8 Plus 64 Gb Nuevos.,16999,0
Iphone 8 Plus 64g Desbloqueado Nuevo ,16999,0
Iphone 8 Plus Nuevo Liberado,16900,0
Iphone 8 Plus Nuevo Negro Telcel 64gb Funda De Regalo,16900,0
