id,title,price,sold_quantity
MLM615885238,Grand Prime Plus Telcel,2499.99,0
MLM551427283,Samsung Galaxy Grand Prime Telcel Blanco Sm-g530h,2499,0
MLM599553253,Samsung  J2 Prime Plus Liberado,2400,1
MLM619136512,Samsung Galaxy Grand Prime Plus Plata At&t Impecable! 9.5,2300,0
MLM605930793,Samsung Galaxy Gran Prime+,2300,0
MLM597659342,Samsung Grand Primer Plus,2300,0
MLM597640283,Samsung Grand Prime Plus Color Negro Liberado,2300,0
MLM619183487,Samsung Grand Prime Plus Totalmente Negro Ed Especial,2299,1
MLM608423583,Samsung Galaxy Grand Prime 1gb Ram Dual 8gb 8mp Liberado,2199,4
MLM568361781,Samsung Grand Prime Dorado,2150,0
MLM597986471,Samsung Galaxy Grand Prime Plus,2150,0
MLM592937362,"Samsung Galaxy Grand Prime Plus, Iusa, At&t, Estetica 9.8.",2099,0
MLM616249972,Samsung Galaxy Grand Prime,2000,0
MLM559294258,Samsung Galaxy Sm-g530h Usado Buen Estado,2000,0
MLM560254476,Samsumg Galaxy Grand Prime,2000,0
MLM588083211,Celular Grand Prime Plus,2000,0
MLM608847785,Gran Prime,2000,0
MLM566803939,Galaxy Grand Prime,2000,0
MLM606466185,Samsung Galaxy Grand Prime Plus 8gb (negro),2000,0
MLM562128655,Samsung Galaxy Grand Prime,2000,0
MLM594584402,Vendo Celular Samsung Galaxi Gran Prime Plus ,2000,0
MLM592057585,Samsung Grand Prime Plus.,2000,0
MLM602503781,Celular Samsung Grand Prime Plus ,2000,0
MLM593068119,"Samsung Galaxy Grand Prime Plus, Iusa, At&t, Estetica 9.8.",1999,0
MLM579394809,Remato Celular Grand Prime Dorado,1999,0
MLM595453476,Samsung J3 Grand Prime Sin Display Ni Touch Sm J320m Reparar,1999,0
MLM586857569,Samsung Grand Prime Plus Rosa Nuevi,1900,0
MLM567827157,Samsung Grand Prime,1900,0
MLM615955301,Samsung Grand Prime Seminuevo White,1899.99,0
MLM613862976,Samsung Grand Prime+ Sm-g532m Dorado Microplaza 4627,1899,1
MLM611650736,Samsung Grand Prime+ Sm-g532 Dorado Libre Microplaza 6540,1899,0
MLM623680209,Galaxy Grand Prime Plus Sm-g532m Negro Excelent Estado Libre,1899,1
MLM611650310,Samsung Grand Prime+ Sm-g532m Negro Libre Microplaza 0330,1899,0
MLM622225038,Samsung Grand Prime+ Sm-g532m Azul Microplaza 2922,1899,0
MLM613863623,Grand Prime Plus Plata G532m Celular Samsung Galaxy Unefon,1890,0
MLM596015413,Celular Samsung Grame Prime Plusdorado,1890,0
MLM619997695,Galaxy Grand Prime Plus At&t Mexicano,1850,0
MLM579374831,Grand Prime Cambio,1800,0
MLM606578939,Samsung Galaxy Grand Prime,1800,0
MLM572741817,"Galaxy Grand Prime, Nuevo, Con Caja Y Todo.",1800,0
MLM606683307,Samsung Grand Prime Plus,1800,0
MLM610829537,Smartphone Samsung Galaxy Grand Prime Gold G531h,1800,1
MLM572742951,Galaxy Grand Prime,1800,0
MLM574360494,Celular Samsung Grand Prime Dorado,1800,0
MLM623681673,"Galaxy Grand Prime Plus, Sm-g532m, Liberado, Estetica 9.5",1799,0
MLM621998317,Grand Prime Sm-g530h Celular Samsung Telcel 8gb 5 Pulg Envio,1785,0
MLM587046069,Samsung Galaxy Amp Prime 16 Gb Liberado,1750,0
MLM619735666,Samsung Galaxy Grand Prime Sm-g531h/dl 8gb En Caja,1700,1
MLM576559866,Teléfono Celular Samsung Prime  ,1700,0
MLM606018344,Samsung Galaxy Grand Prime+,1700,0
MLM602763340,Samsung Galaxi Grand Prime,1700,0
MLM588026580,Samsung Galaxy Grand Prime Urgeeee!,1700,0
MLM574115425,Samsung Grand Prime,1700,0
MLM603023137,Grand Prime Plus Rosa,1700,0
MLM599302566,Celular Grand Prime,1700,0
MLM558941111,Samsung Galaxy Grand Prime Urge,1650,0
MLM617705492,Samsung Galaxy Grand Prime Plus,1650,0
MLM582327604,Samsung Galaxy Grad Prime Con Funda Y Mica De Cristal Gorila,1600,0
MLM604354896,Celular Samsung,1600,0
MLM597744852,Samsung Galaxy Grand Prime Plus,1600,0
MLM609450320,Samsung Grand Prime Plus,1600,0
MLM600679941,Samsung Galaxy Grand Prime (seminuevo),1599,0
MLM604837056,Samsung Galaxy Grand Prime Un Mes De Uso Sin Defectos,1570,0
MLM621482256,Oferta Bonito Celular Grand Prime Plus ,1550,0
MLM582441358,Venta/cambio Samsung Galaxy Grand Prime.,1500,0
MLM604820626,Samsung Grand Prime Dorado,1500,0
MLM609744238,Samsung Galaxy Grand Prime Plus At&t,1500,0
MLM582271620,Vendo Samsung Grand Prime,1500,0
MLM566317349,Samsung Galaxi Gran Prime,1500,0
MLM604962017,Celular Samsung Grand Prime,1500,0
MLM616710635,Galaxy Grand Prime Plus,1500,0
MLM600413862,Samsung Galaxy Grand Prime,1500,0
MLM607573854,Vendo Boleta De Empeño De Celular,1500,0
MLM607273036,Samsung Galaxy Grand Prime G530h Gris,1500,0
MLM590731669,Samsung Galaxy Grand Primej2 (sm-g531h),1400,0
MLM622545283,Samsung Galaxy Grand Prime ,1400,0
MLM597677268,Samsung Galaxy Grand Prime,1300,0
MLM590725170,Samsung Galaxy Grand Prime,1300,0
MLM621934166,Celular Samsung Grand Prime Telcel. Envio Gratis.,1299,0
MLM600154102,Samsung Grand Prime,1289,0
MLM615137270,Samsung Galaxy Grand Prime ,1250,0
MLM621864834,Celular Samsung Grand Prime  G531h,1200,0
MLM600676058,Sansumg Grand Prime,1200,0
MLM619594407,Celular Grand Prime Lcd Dañado Tacto Nuevo Funcionando,1199,0
MLM613362983,Tarjeta Logica Samsung Grand Prime Mod. G530t,1100,0
MLM613663006,"Celular Samsung, Galaxy Grande Prime",1050,0
