id,title,price,sold_quantity
MLM594038867,Microsoft Surface Pro 1 Tableta 128 Gb Dual Core I5 Tipo Cu,16160,0
MLM563170191,Microsoft Surface Pro 1 Tablet,8500,0
MLM612689651,"Surface Pro 1, 4gb De Ram, 128 Gb, Core I5",7500,0
MLM619631650,Microsoft Surface Pro1 64gb I5 4gb Ram Win10 (teclado+pluma),7500,0
MLM622781813,"Surface Pro 1, I5, 4 Ram, Disco Solido 128",6000,0
MLM554152346,Surface Pro 1  64 Gb,5999,0
MLM598653532,Microsoft Surface Pro1 64gb I5 4gbram Win8 (teclado + Pluma),5900,0
MLM618098753,"Surface Pro 1 64 Gb Core I5 Estado Pluma Y Cargado, Urge",5500,0
MLM617782885,Microsoft Surface Pro 1 128gb,5499,0
